wave_peak	wave_base	wave_top	species
548.3099	548.2799	548.3399	Fe 1
548.331	548.301	548.361	Co 1
548.7745	548.7445	548.8045	Fe 1
549.7516	549.7216000000001	549.7816	Fe 1
550.1465	550.1165	550.1764999999999	Fe 1
550.6779	550.6479	550.7079	Fe 1
550.9895	550.9595	551.0195	Y 2
551.2524	551.2224	551.2823999999999	Ti 1
551.298	551.268	551.328	Ca 1
551.4343	551.4043	551.4643	Ti 1
551.4534	551.4234	551.4834	Ti 1
552.5544	552.5244	552.5844	Fe 1
552.8405	552.8105	552.8705	Mg 1
554.3936	554.3636	554.4236	Fe 1
554.6506	554.6206000000001	554.6806	Fe 1
555.4894	555.4594000000001	555.5194	Fe 1
556.0212	555.9912	556.0512	Fe 1
556.2706	556.2406	556.3005999999999	Fe 1
556.36	556.33	556.39	Fe 1
556.7391	556.7091	556.7691	Fe 1
556.9618	556.9318000000001	556.9918	Fe 1
558.1965	558.1665	558.2265	Ca 1
558.6756	558.6456000000001	558.7056	Fe 1
558.7858	558.7558	558.8158	Ni 1
558.8749	558.8449	558.9049	Ca 1
559.2146	559.1846	559.2446	Ni 1
560.1277	560.0977	560.1577	Ca 1
561.5297	561.4997000000001	561.5597	Fe 1
561.8632	561.8332	561.8932	Fe 1
563.3946	563.3646	563.4245999999999	Fe 1
563.8262	563.7962	563.8562	Fe 1
564.1434	564.1134000000001	564.1734	Fe 1
564.5613	564.5313	564.5912999999999	Si 1
565.5176	565.4876	565.5476	Fe 1
565.549	565.519	565.579	Fe 1
565.7896	565.7596	565.8195999999999	Sc 2
566.215	566.1850000000001	566.245	Ti 1
566.2516	566.2216000000001	566.2816	Fe 1
566.5555	566.5255000000001	566.5855	Si 1
566.7149	566.6849	566.7448999999999	Sc 2
566.7518	566.7218	566.7818	Fe 1
566.9042	566.8742	566.9341999999999	Sc 2
567.9023	567.8723	567.9322999999999	Fe 1
568.2633	568.2333	568.2932999999999	Na 1
568.4202	568.3902	568.4502	Sc 2
568.4484	568.4184	568.4784	Si 1
568.653	568.623	568.683	Fe 1
568.8205	568.7905000000001	568.8505	Na 1
569.0425	569.0125	569.0725	Si 1
569.4983	569.4683	569.5283	Ni 1
569.8483	569.8183	569.8783	V 1
570.1104	570.0804	570.1404	Si 1
570.1514	570.1214	570.1813999999999	Fe 1
570.3587	570.3287	570.3887	V 1
570.5464	570.5164	570.5763999999999	Fe 1
570.5992	570.5692	570.6292	Fe 1
570.82	570.7900000000001	570.85	Ti 1
570.84	570.8100000000001	570.87	Si 1
571.1088	571.0788	571.1388	Mg 1
571.2882	571.2582	571.3181999999999	Fe 1
571.7833	571.7533000000001	571.8133	Fe 1
572.7016	572.6716	572.7316	V 1
573.1762	573.1462	573.2062	Fe 1
574.1848	574.1548	574.2148	Fe 1
574.8351	574.8051	574.8651	Ni 1
575.2032	575.1732000000001	575.2332	Fe 1
575.3967	575.3667	575.4267	Fe 1
575.4656	575.4356	575.4956	Ni 1
576.284	576.254	576.314	Fe 1
576.7923	576.7623	576.8222999999999	Cr 1
577.2146	577.1846	577.2446	Si 1
577.5081	577.4781	577.5381	Fe 1
578.2155	578.1855	578.2455	Cu 1
578.2177	578.1877000000001	578.2477	Cu 1
578.3065	578.2765	578.3365	Cr 1
578.385	578.355	578.415	Cr 1
578.4658	578.4358	578.4957999999999	Fe 1
579.3073	579.2773000000001	579.3373	Si 1
579.7856	579.7556000000001	579.8156	Si 1
580.6725	580.6425	580.7025	Fe 1
580.9217	580.8917	580.9517	Fe 1
581.4807	581.4507	581.5106999999999	Fe 1
581.6373	581.6073	581.6673	Fe 1
584.6993	584.6693	584.7293	Ni 1
585.2073	585.1773000000001	585.2373	Fe 1
585.3666	585.3366	585.3965999999999	Ba 2
585.3668	585.3368	585.3968	Ba 2
585.3669	585.3369	585.3969	Ba 2
585.3669	585.3369	585.3969	Ba 2
585.5076	585.4776	585.5376	Fe 1
585.6088	585.5788	585.6388	Fe 1
585.7451	585.7151	585.7751	Ca 1
585.7752	585.7452000000001	585.8052	Ni 1
585.9586	585.9286000000001	585.9886	Fe 1
586.2356	586.2056	586.2656	Fe 1
586.6451	586.6151	586.6750999999999	Ti 1
586.7562	586.7262000000001	586.7862	Ca 1
588.3817	588.3517	588.4117	Fe 1
589.0485	589.0185	589.0785	Co 1
590.5671	590.5371	590.5971	Fe 1
590.9844	590.9544000000001	591.0144	Fe 1
591.4201	591.3901000000001	591.4501	Fe 1
591.6247	591.5947	591.6546999999999	Fe 1
592.211	592.181	592.241	Ti 1
592.7789	592.7489	592.8089	Fe 1
592.9676	592.9376	592.9975999999999	Fe 1
593.018	592.988	593.048	Fe 1
593.4654	593.4354000000001	593.4954	Fe 1
594.8541	594.8241	594.8841	Si 1
595.2718	595.2418	595.3018	Fe 1
595.316	595.2860000000001	595.346	Ti 1
595.6694	595.6394	595.6994	Fe 1
597.535	597.505	597.5649999999999	Fe 1
597.6777	597.6477	597.7076999999999	Fe 1
597.8541	597.8241	597.8841	Ti 1
598.1365	598.1065	598.1664999999999	Fe 1
598.368	598.3380000000001	598.398	Fe 1
598.4815	598.4515	598.5115	Fe 1
598.7065	598.6765	598.7365	Fe 1
600.3011	600.2711	600.3311	Fe 1
600.731	600.701	600.761	Ni 1
600.796	600.7660000000001	600.826	Fe 1
600.8556	600.8256	600.8856	Fe 1
601.3455	601.3155	601.3755	Mn 1
602.0169	601.9869	602.0468999999999	Fe 1
602.1771	602.1471	602.2071	Mn 1
602.4058	602.3758	602.4358	Fe 1
602.7051	602.6751	602.7351	Fe 1
605.6005	605.5705	605.6305	Fe 1
606.5482	606.5182	606.5781999999999	Fe 1
607.8491	607.8191	607.8791	Fe 1
607.9008	607.8708	607.9308	Fe 1
608.271	608.241	608.3009999999999	Fe 1
608.4102	608.3802000000001	608.4402	Fe 2
608.6282	608.5982	608.6582	Ni 1
609.0231	608.9931	609.0531	V 1
610.2171	610.1871	610.2470999999999	Fe 1
610.2723	610.2423	610.3023	Ca 1
610.3185	610.2885	610.3485	Fe 1
610.8116	610.7816	610.8416	Ni 1
611.9524	611.9224	611.9824	V 1
612.2217	612.1917000000001	612.2517	Ca 1
612.5021	612.4721000000001	612.5321	Si 1
612.6216	612.5916	612.6515999999999	Ti 1
612.7906	612.7606000000001	612.8206	Fe 1
613.6615	613.6315000000001	613.6915	Fe 1
613.6994	613.6694	613.7293999999999	Fe 1
613.7498	613.7198000000001	613.7798	Fe 1
614.2483	614.2183	614.2783	Si 1
614.5016	614.4716000000001	614.5316	Si 1
614.7834	614.7534	614.8134	Fe 1
614.9246	614.8946000000001	614.9546	Fe 2
615.1617	615.1317	615.1917	Fe 1
615.4226	615.3926	615.4526	Na 1
615.7728	615.7428	615.8027999999999	Fe 1
616.0747	616.0447	616.1047	Na 1
616.1297	616.0997	616.1596999999999	Ca 1
616.2173	616.1873	616.2473	Ca 1
616.536	616.506	616.5659999999999	Fe 1
616.6439	616.6139000000001	616.6739	Ca 1
616.9042	616.8742	616.9341999999999	Ca 1
616.9563	616.9263000000001	616.9863	Ca 1
617.3334	617.3034	617.3634	Fe 1
617.5367	617.5067	617.5667	Ni 1
617.6807	617.6507	617.7107	Ni 1
618.0203	617.9903	618.0503	Fe 1
619.1178	619.0878	619.1478	Ni 1
619.1558	619.1258	619.1858	Fe 1
620.0312	620.0012	620.0612	Fe 1
621.3429	621.3129	621.3729	Fe 1
621.6315	621.6015	621.6614999999999	V 1
621.928	621.898	621.958	Fe 1
622.9226	622.8926	622.9526	Fe 1
623.264	623.234	623.294	Fe 1
623.7319	623.7019	623.7619	Si 1
624.3098	624.2798	624.3398	V 1
624.3815	624.3515	624.4114999999999	Si 1
624.4466	624.4166	624.4766	Si 1
624.5637	624.5337000000001	624.5937	Sc 2
624.6318	624.6018	624.6618	Fe 1
624.7557	624.7257000000001	624.7857	Fe 2
625.2555	625.2255	625.2855	Fe 1
625.8102	625.7802	625.8402	Ti 1
625.8707	625.8407000000001	625.9007	Ti 1
626.5132	626.4832	626.5432	Fe 1
627.0223	626.9923	627.0523	Fe 1
